Geracao,Melhor_X,Melhor_Y,Fitness
675,14.095367,0.843750,-6960.926758
676,14.095367,0.843750,-6960.926758
677,14.095367,0.843750,-6960.926758
678,14.095367,0.843750,-6960.926758
679,14.095367,0.843750,-6960.926758
680,14.095367,0.843750,-6960.926758
681,14.095367,0.843750,-6960.926758
682,14.095367,0.843750,-6960.926758
683,14.095367,0.843750,-6960.926758
684,14.095367,0.843750,-6960.926758
685,14.095367,0.843750,-6960.926758
686,14.095367,0.843750,-6960.926758
687,14.095367,0.843750,-6960.926758
688,14.095367,0.843750,-6960.926758
689,14.095367,0.843750,-6960.926758
690,14.095367,0.843750,-6960.926758
691,14.095367,0.843750,-6960.926758
692,14.095367,0.843750,-6960.926758
693,14.095367,0.843750,-6960.926758
694,14.095367,0.843750,-6960.926758
695,14.095367,0.843750,-6960.926758
696,14.095367,0.843750,-6960.926758
697,14.095367,0.843750,-6960.926758
698,14.095367,0.843750,-6960.926758
699,14.095367,0.843750,-6960.926758
700,14.095367,0.843750,-6960.926758
701,14.095367,0.843750,-6960.926758
702,14.095367,0.843750,-6960.926758
703,14.095367,0.843750,-6960.926758
704,14.095367,0.843750,-6960.926758
705,14.095367,0.843750,-6960.926758
706,14.095367,0.843750,-6960.926758
707,14.095367,0.843750,-6960.926758
708,14.095367,0.843750,-6960.926758
709,14.095367,0.843750,-6960.926758
710,14.095367,0.843750,-6960.926758
711,14.095367,0.843750,-6960.926758
712,14.095367,0.843750,-6960.926758
713,14.095367,0.843750,-6960.926758
714,14.095367,0.843750,-6960.926758
715,14.095367,0.843750,-6960.926758
716,14.095367,0.843750,-6960.926758
717,14.095367,0.843750,-6960.926758
718,14.095367,0.843750,-6960.926758
719,14.095367,0.843750,-6960.926758
720,14.095367,0.843750,-6960.926758
721,14.095367,0.843750,-6960.926758
722,14.095367,0.843750,-6960.926758
723,14.095367,0.843750,-6960.926758
724,14.095367,0.843750,-6960.926758
725,14.095367,0.843750,-6960.926758
726,14.095367,0.843750,-6960.926758
727,14.095367,0.843750,-6960.926758
728,14.095367,0.843750,-6960.926758
729,14.095367,0.843750,-6960.926758
730,14.095367,0.843750,-6960.926758
731,14.095367,0.843750,-6960.926758
